project,period,specified_capacity_mw,specified_energy_mwh,shaping_capacity_mw,hyb_gen_specified_capacity_mw,hyb_stor_specified_capacity_mw,specified_stor_capacity_mwh,fuel_production_capacity_fuelunitperhour,fuel_release_capacity_fuelunitperhour,fuel_storage_capacity_fuelunit
SERC_SE_GAS_DUAL_FUEL,2035,8219.7,,,,,,,,
SERC_SE_GAS_SINGLE_FUEL,2035,24637.4,,,,,,,,
SERC_SE_GEOTHERMAL,2035,0.0,,,,,,,,
SERC_SE_HYDRO,2035,3966.0,,,,,,,,
SERC_SE_NUCLEAR,2035,8080.0,,,,,,,,
SERC_SE_OIL,2035,1037.7,,,,,,,,
SERC_SE_OTHER,2035,55.7,,,,,,,,
SERC_SE_PUMPED_STORAGE,2035,1815.4,,,,,21784.8,,,
SERC_SE_UPV,2035,5273.1,,,,,,,,
SPP_N_BATTERY_STORAGE,2035,4.7,,,,,18.8,,,
SPP_N_BIOMASS,2035,3.0,,,,,,,,
SPP_N_COAL,2035,5950.8,,,,,,,,
SPP_N_DGPV,2035,7.0,,,,,,,,
SPP_N_DR,2035,333.0,,,,,,,,
SPP_N_GAS_DUAL_FUEL,2035,2018.5,,,,,,,,
SPP_N_GAS_SINGLE_FUEL,2035,1661.9,,,,,,,,
SPP_N_GEOTHERMAL,2035,0.0,,,,,,,,
SPP_N_HYDRO,2035,2383.7,,,,,,,,
SPP_N_LBW,2035,6456.6,,,,,,,,
SPP_N_NUCLEAR,2035,768.5,,,,,,,,
SPP_N_OIL,2035,659.3,,,,,,,,
SPP_N_OTHER,2035,19.4,,,,,,,,
SPP_N_PROXY_GEN,2035,278.0,,,,,,,,
SPP_N_PUMPED_STORAGE,2035,0.0,,,,,0.0,,,
SPP_N_UPV,2035,193.1,,,,,,,,
SPP_S_BATTERY_STORAGE,2035,22.0,,,,,88.0,,,
SPP_S_BIOMASS,2035,271.4,,,,,,,,
SPP_S_COAL,2035,12086.9,,,,,,,,
SPP_S_DGPV,2035,64.0,,,,,,,,
SPP_S_DR,2035,1020.0,,,,,,,,
SPP_S_GAS_DUAL_FUEL,2035,3756.3,,,,,,,,
SPP_S_GAS_SINGLE_FUEL,2035,23311.0,,,,,,,,
SPP_S_GEOTHERMAL,2035,0.0,,,,,,,,
SPP_S_HYDRO,2035,531.9,,,,,,,,
SPP_S_LBW,2035,27233.7,,,,,,,,
SPP_S_NUCLEAR,2035,1176.7,,,,,,,,
SPP_S_OIL,2035,1209.5,,,,,,,,
SPP_S_OTHER,2035,55.9,,,,,,,,
SPP_S_PROXY_GEN,2035,1127.12,,,,,,,,
SPP_S_PUMPED_STORAGE,2035,258.0,,,,,3096.0,,,
SPP_S_UPV,2035,822.7,,,,,,,,
