EIA_Plant_ID,EIA_Generator_ID,EIA_Plant_Name,Status,Install_Year,Retirement_Year,Sync_To_Grid,Summer_Capacity_MW,Winter_Capacity_MW,Primary_Energy_Source,Secondary_Energy_Source,Technology,Prime_Mover,Source,Latitude,Longitude,NERC_Region,BA_Code,State,County,Transmission_Owner,Region,Type,Retired_Flag,New_Install_Flag,State_BA_Region,Planning_Region,Fuel_Type_Detail,Fuel_Type_Simple,Dual_Fuel,Interconnect,Notes
55339,GEN1,Phoenix Wind Power LLC,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
55608,GEN1,Foote Creek II,,,,,,,,,,,,,,,,,,,,,,,,WASATCH FRONT,,,,,Similar County_State mappings go to Wasatch Fron
55609,GEN1,Foote Creek III,,,,,,,,,,,,,,,,,,,,,,,,WASATCH FRONT,,,,,Assigned to WASATCH FRONT due to other generators in the county
55610,GEN1,Foote Creek IV,,,,,,,,,,,,,,,,,,,,,,,,WASATCH FRONT,,,,,Assigned to WASATCH FRONT due to other generators in the county
55719,MVWR,Mountain View I & II,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
56134,601,Regional Wastewater Control Facility,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
56194,1,Dike City Power Plant,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Moved from MISO-W to SPP-N
56478,1,MJMEUC Generating Station #1,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Remapped to SPP-N based on review of zonal SPP maps
56510,GEN1,Frey Farm Landfill,,,,,,,,,,,,,,,,,,,,,,,,PJM_E,,,,,Based on transmission owner associated with Pennslyvania Power & Light Zone zone
56606,1,Culbertson Generation Station,,,,,,,,,,,,,,,,,,,,,,,,SPP-N,,,,,Per review of utilities in SPP. Basin Electric Power Coop participates in SPP EI and Laramie 1 is sited at an RTO/ISO LMP Node in EIA 860
60095,BLST4,"Blythe Solar IV, LLC",,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
60192,NFCP2,North Fork Community Power,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
60316,SCBS,Scott Solar Farm,,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
60696,1,Nodal Power,,,,,,,,,,,,,,,,,,,,,,,,FRONT RANGE,,,,,Existing generator mapping to Front Range
60696,2,Nodal Power,,,,,,,,,,,,,,,,,,,,,,,,FRONT RANGE,,,,,Existing generator mapping to Front Range
60791,BA1&2,SunAnza,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
60791,BA3,SunAnza,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
62703,EQX05,Equinix Lundy Ave. Fuel Cell,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
63173,P1,Orange Street G1,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Assigned to PJM-W due to other generators in the county
63173,P2,Orange Street G1,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Assigned to PJM-W due to other generators in the county
63173,P3,Orange Street G1,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Assigned to PJM-W due to other generators in the county
63173,P4,Orange Street G1,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Assigned to PJM-W due to other generators in the county
63173,P5,Orange Street G1,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Assigned to PJM-W due to other generators in the county
64448,GEN1,Wythe County Solar,,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Assigned to PJM-S due to other generators in the county
64993,BB2BA,"BigBeau Solar, LLC",,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
64993,BB2PV,"BigBeau Solar, LLC",,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
65617,3998G,BBARWA,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
66450,PB4,Quakertown PA BTM,,,,,,,,,,,,,,,,,,,,,,,,PJM-E,,,,,Assigned to PJM-E due to other generators in the county
66494,NOVA4,Menifee Power Bank,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
66494,NOVA5,Menifee Power Bank,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
66799,4087G,Bishop Ranch - BR 1-Y,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
66799,4087R,Bishop Ranch - BR 1-Y,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
66943,2-114,Pine 1 Solar,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Based on transmission owner associated with Duquesne Lighting Company zone
66944,2-115,Pine 2 Solar,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Based on transmission owner associated with Duquesne Lighting Company zone
66946,LHESS,"Lockhart ESS, LLC",,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
66948,VSPRC,"VS BC Pacific Gateway, LLC",,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
66949,1,Sagebrush Solar 2 ESS 40,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
